Page                                                                                                Page Rank                                                                                           No. of Outlinks                                                                                     No. of Inlinks                                                                                      
http://www.elizabethhurley.com/categories/index/1/4                                                 7.826285869048862e-06                                                                               56                                                                                                  184                                                                                                 
http://www.elizabethhurley.com/categories/index/1/66                                                7.826285869048862e-06                                                                               56                                                                                                  184                                                                                                 
https://www.boston.com/news/politics/2023/03/16/massachusetts-college-offers-refuge-to-students-from-florida-school-impacted-by-conservative-politics7.825322844084473e-06                                                                               111                                                                                                 1019                                                                                                
https://www.boston.com/news/politics/2023/03/17/international-criminal-court-arrest-warrant-putin-ukraine-war-crimes7.806401884515991e-06                                                                               106                                                                                                 1016                                                                                                
https://en.wikipedia.org/wiki/Category:All_articles_with_unsourced_statements                       7.801446330285877e-06                                                                               468                                                                                                 3880                                                                                                
https://www.boston.com/news/local-news/2023/03/17/adoption-fees-reduced-lucky-puppy-st-patricks-day 7.716683264862392e-06                                                                               112                                                                                                 1029                                                                                                
https://en.wikipedia.org/wiki/Template:WikiProject_United_States                                    7.705717105468488e-06                                                                               963                                                                                                 819                                                                                                 
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_United_States/Assessment                        7.681905260590837e-06                                                                               5975                                                                                                813                                                                                                 
https://en.wikipedia.org/wiki/Wikipedia_talk:WikiProject_United_States                              7.659455305421306e-06                                                                               309                                                                                                 808                                                                                                 
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_United_States/US_related_unreferenced_BLPs      7.654325359170497e-06                                                                               460                                                                                                 799                                                                                                 
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_United_States/Members                           7.653304876134476e-06                                                                               5515                                                                                                806                                                                                                 
https://en.wikipedia.org/wiki/Wikipedia:WikiProject_United_States/Article_alerts                    7.639649171665932e-06                                                                               3577                                                                                                804                                                                                                 
https://en.wikipedia.org/wiki/Category:WikiProject_United_States_articles                           7.633896085402856e-06                                                                               418                                                                                                 791                                                                                                 
http://www.elizabethhurley.com/categories/index/4/3                                                 7.5991479930367525e-06                                                                              40                                                                                                  184                                                                                                 
https://elizabethwarren.com/give-by-mail                                                            7.538028116137238e-06                                                                               25                                                                                                  129                                                                                                 
https://elizabethwarren.com/endorsements                                                            7.537941052670955e-06                                                                               25                                                                                                  139                                                                                                 
https://fuckmittromney.tumblr.com/mobile/page/3                                                     7.483337373590317e-06                                                                               3                                                                                                   2                                                                                                   
http://www.elizabethhurley.com/myaccount                                                            7.466878003473231e-06                                                                               41                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/myaccount/addresses                                                  7.466878003473231e-06                                                                               41                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/myaccount/issues_lists                                               7.466878003473231e-06                                                                               41                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/myaccount/my_profile                                                 7.466878003473231e-06                                                                               41                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/myaccount/order_lists                                                7.466878003473231e-06                                                                               41                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/periodic_promotions/index/71                                         7.466878003473231e-06                                                                               54                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/presses/show_press_page                                              7.466878003473231e-06                                                                               39                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/styles/collection/3                                                  7.466878003473231e-06                                                                               100                                                                                                 183                                                                                                 
http://www.elizabethhurley.com/styles/collection/34                                                 7.466878003473231e-06                                                                               65                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/about_us                                                             7.466878003473231e-06                                                                               38                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/cms/shipping                                                         7.466878003473231e-06                                                                               38                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/cms/social_media                                                     7.466878003473231e-06                                                                               59                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/customers/login                                                      7.466878003473231e-06                                                                               41                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/elizabeth_hurley                                                     7.466878003473231e-06                                                                               38                                                                                                  183                                                                                                 
http://www.elizabethhurley.com/faqs                                                                 7.466878003473231e-06                                                                               44                                                                                                  183                                                                                                 
https://elizabethwarren.com/tax-returns                                                             7.337717453314539e-06                                                                               38                                                                                                  144                                                                                                 
https://en.wikipedia.org/wiki/Vice_President_of_the_United_States                                   7.301834487297353e-06                                                                               1598                                                                                                5413                                                                                                
https://www.cbsnews.com/boston/tag/elizabeth-warren                                                 7.1550365212890186e-06                                                                              118                                                                                                 458                                                                                                 
https://elizabethwarren.com/take-action                                                             7.140702094317179e-06                                                                               38                                                                                                  126                                                                                                 
https://elizabethwarren.com/news                                                                    7.11325896216659e-06                                                                                90                                                                                                  125                                                                                                 
https://elizabethwarren.com/website-accessibility-statement                                         7.11325896216659e-06                                                                                26                                                                                                  125                                                                                                 
https://fuckmittromney.tumblr.com/mobile/page/1                                                     7.0606600178942365e-06                                                                              4                                                                                                   1                                                                                                   
https://www.capecodstpatricksparade.com                                                             7.0501772016263415e-06                                                                              30                                                                                                  41                                                                                                  
https://www.capecodstpatricksparade.com/awards                                                      7.036322060270561e-06                                                                               12                                                                                                  40                                                                                                  
https://www.capecodstpatricksparade.com/floats                                                      7.036322060270561e-06                                                                               11                                                                                                  40                                                                                                  
https://www.capecodstpatricksparade.com/join-us/celtic-friends                                      7.036322060270561e-06                                                                               10                                                                                                  40                                                                                                  
https://www.capecodstpatricksparade.com/join-us/sponsors                                            7.036322060270561e-06                                                                               12                                                                                                  40                                                                                                  
https://www.capecodstpatricksparade.com/news                                                        7.036322060270561e-06                                                                               36                                                                                                  40                                                                                                  
https://www.capecodstpatricksparade.com/past-parades                                                7.036322060270561e-06                                                                               10                                                                                                  40                                                                                                  
https://www.capecodstpatricksparade.com/payments                                                    7.036322060270561e-06                                                                               10                                                                                                  40                                                                                                  
http://datacenter.commonwealthfund.org/improving-health-care-quality                                6.927727405849987e-06                                                                               60                                                                                                  285                                                                                                 
https://en.wikipedia.org/wiki/Template:United_States_House_of_Representatives_elections             6.866738325081557e-06                                                                               313                                                                                                 5003                                                                                                
https://en.wikipedia.org/wiki/Template:United_States_gubernatorial_elections                        6.8433293194438465e-06                                                                              198                                                                                                 5002                                                                                                
https://www.politico.com/news/mitt-romney/1                                                         6.8393620652698054e-06                                                                              106                                                                                                 708                                                                                                 
https://www.politico.com/news/mitt-romney/782                                                       6.8393620652698054e-06                                                                              91                                                                                                  708                                                                                                 
https://en.wikipedia.org/wiki/Template:United_States_Senate_elections                               6.837534260457734e-06                                                                               194                                                                                                 5002                                                                                                
https://en.wikipedia.org/wiki/Template:United_States_presidential_elections                         6.836448096093993e-06                                                                               237                                                                                                 5003                                                                                                
http://journalstar.com/news/local/govt-and-politics/father-alleges-lincoln-first-responders-were-negligent-in-7-year-olds-death/article_392a036e-c4ea-11ed-a21b-6f8cbc3c8796.html6.802511385553212e-06                                                                               144                                                                                                 1086                                                                                                
http://www.elizabethwarren.com/meet-elizabeth                                                       6.80084067122136e-06                                                                                24                                                                                                  165                                                                                                 
http://www.elizabethwarren.com/plans                                                                6.80084067122136e-06                                                                                113                                                                                                 165                                                                                                 
http://journalstar.com/business/local/owner-of-lincoln-burger-king-restaurants-files-for-bankruptcy/article_68039da2-bf5a-11ed-b5ae-17e8c7c1fa75.html6.796986273369544e-06                                                                               147                                                                                                 1085                                                                                                
https://fuckmittromney.tumblr.com/tagged/2012                                                       6.7494927305015765e-06                                                                              60                                                                                                  112                                                                                                 
http://elizabethwarren.com/plans                                                                    6.72739725218814e-06                                                                                113                                                                                                 168                                                                                                 
http://elizabethwarren.com/meet-elizabeth                                                           6.72739725218814e-06                                                                                24                                                                                                  168                                                                                                 
https://www.boston.com/news/politics/2023/03/14/kamala-harris-elizabeth-warren-cnn-report-rift      6.699363047751706e-06                                                                               116                                                                                                 795                                                                                                 
https://fuckmittromney.tumblr.com/tagged/mitt%20romney                                              6.689485570840301e-06                                                                               53                                                                                                  113                                                                                                 
https://millercenter.org/president                                                                  6.560963495405075e-06                                                                               263                                                                                                 1007                                                                                                
https://millercenter.org/president/coolidge                                                         6.554930890373517e-06                                                                               196                                                                                                 1005                                                                                                
https://millercenter.org/president/taft                                                             6.5542018514294736e-06                                                                              200                                                                                                 1004                                                                                                
https://millercenter.org/the-presidency/presidential-speeches                                       6.552501857172376e-06                                                                               192                                                                                                 1012                                                                                                
https://millercenter.org/president/taylor                                                           6.547486278276767e-06                                                                               200                                                                                                 1006                                                                                                
https://millercenter.org/president/biden                                                            6.546478239276285e-06                                                                               189                                                                                                 1005                                                                                                
https://millercenter.org/president/trump                                                            6.545971843337079e-06                                                                               196                                                                                                 1004                                                                                                
https://millercenter.org/the-presidency                                                             6.545971843337079e-06                                                                               204                                                                                                 1004                                                                                                
https://millercenter.org/the-presidency/educational-resources                                       6.545971843337079e-06                                                                               198                                                                                                 1004                                                                                                
https://millercenter.org/the-presidency/secret-white-house-tapes                                    6.545971843337079e-06                                                                               197                                                                                                 1004                                                                                                
https://millercenter.org/the-presidency/presidential-oral-histories                                 6.545971843337079e-06                                                                               307                                                                                                 1004                                                                                                
https://millercenter.org/president/lbjohnson                                                        6.54523353284803e-06                                                                                209                                                                                                 1007                                                                                                
https://millercenter.org/president/fdroosevelt                                                      6.5449552265349615e-06                                                                              206                                                                                                 1007                                                                                                
https://millercenter.org/president/jackson                                                          6.544909814290397e-06                                                                               201                                                                                                 1005                                                                                                
https://millercenter.org/president/kennedy                                                          6.544804844592544e-06                                                                               213                                                                                                 1006                                                                                                
https://millercenter.org/president/harding                                                          6.543622185592603e-06                                                                               197                                                                                                 1005                                                                                                
https://millercenter.org/president/washington                                                       6.5432548039966174e-06                                                                              198                                                                                                 1004                                                                                                
https://millercenter.org/president/nixon                                                            6.543188831136969e-06                                                                               206                                                                                                 1007                                                                                                
https://millercenter.org/president/polk                                                             6.543184815533899e-06                                                                               200                                                                                                 1004                                                                                                
https://millercenter.org/president/fillmore                                                         6.543159020196232e-06                                                                               199                                                                                                 1004                                                                                                
https://millercenter.org/president/ford                                                             6.543057213283694e-06                                                                               201                                                                                                 1005                                                                                                
https://millercenter.org/president/bush                                                             6.5430088572201906e-06                                                                              206                                                                                                 1005                                                                                                
https://millercenter.org/president/eisenhower                                                       6.542916604571836e-06                                                                               207                                                                                                 1006                                                                                                
https://millercenter.org/president/reagan                                                           6.542882026012606e-06                                                                               204                                                                                                 1006                                                                                                
https://millercenter.org/president/truman                                                           6.542866772316303e-06                                                                               196                                                                                                 1006                                                                                                
https://millercenter.org/president/madison                                                          6.542819895571125e-06                                                                               195                                                                                                 1004                                                                                                
https://millercenter.org/president/pierce                                                           6.5425258539587525e-06                                                                              199                                                                                                 1004                                                                                                
https://millercenter.org/president/hayes                                                            6.5424808877079165e-06                                                                              196                                                                                                 1004                                                                                                
https://millercenter.org/president/arthur                                                           6.542477055637793e-06                                                                               199                                                                                                 1004                                                                                                
https://millercenter.org/president/buchanan                                                         6.542471011531275e-06                                                                               199                                                                                                 1004                                                                                                
https://millercenter.org/president/bharrison                                                        6.542439638673574e-06                                                                               196                                                                                                 1004                                                                                                
https://millercenter.org/president/hoover                                                           6.542401145970281e-06                                                                               198                                                                                                 1004                                                                                                
https://millercenter.org/president/clinton                                                          6.5423441300360385e-06                                                                              208                                                                                                 1004                                                                                                
https://millercenter.org/president/gwbush                                                           6.5421564538171896e-06                                                                              204                                                                                                 1004                                                                                                
https://millercenter.org/president/harrison                                                         6.541846548406886e-06                                                                               198                                                                                                 1004                                                                                                
https://millercenter.org/president/garfield                                                         6.541809053758001e-06                                                                               197                                                                                                 1004                                                                                                
https://millercenter.org/president/wilson                                                           6.541678241437019e-06                                                                               200                                                                                                 1004                                                                                                
https://millercenter.org/president/lincoln                                                          6.541415968773216e-06                                                                               204                                                                                                 1003                                                                                                
https://millercenter.org/president/grant                                                            6.541414411369794e-06                                                                               200                                                                                                 1003                                                                                                
https://millercenter.org/president/monroe                                                           6.541411653182545e-06                                                                               198                                                                                                 1003                                                                                                
https://millercenter.org/president/mckinley                                                         6.541408991544107e-06                                                                               200                                                                                                 1003                                                                                                
https://millercenter.org/president/roosevelt                                                        6.541389488778997e-06                                                                               201                                                                                                 1003                                                                                                
https://millercenter.org/president/jefferson                                                        6.54138801932023e-06                                                                                201                                                                                                 1003                                                                                                
https://millercenter.org/president/adams                                                            6.541387477154016e-06                                                                               201                                                                                                 1003                                                                                                
https://millercenter.org/president/tyler                                                            6.541387477005411e-06                                                                               199                                                                                                 1003                                                                                                
https://millercenter.org/president/johnson                                                          6.5413873458649925e-06                                                                              200                                                                                                 1003                                                                                                
https://millercenter.org/president/cleveland                                                        6.54138594254668e-06                                                                                199                                                                                                 1003                                                                                                
https://millercenter.org/president/vanburen                                                         6.541385546925133e-06                                                                               198                                                                                                 1003                                                                                                
https://millercenter.org/president/jqadams                                                          6.541385210969393e-06                                                                               198                                                                                                 1003                                                                                                
